"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"ENSG00000116771",41.8471675717272,4.24441075369648,0.541301998283592,2.96546717239883e-16,5.7655672958705e-15,"ENSG00000116771"
"ENSG00000169991",199.209356819279,-3.463375823165,0.464462326936732,5.90035035557752e-15,1.04373964245186e-13,"ENSG00000169991"
"ENSG00000228589",20.866583533554,1.03290676166889,0.549313931533657,0.00974624060295328,0.0280027179039103,"ENSG00000228589"
"ENSG00000163873",191.403772669677,8.69935966651905,2.12493051287591,1.85199574309016e-06,1.25894610986919e-05,"ENSG00000163873"
"ENSG00000196449",803.35784867753,1.08233982915687,0.246335710043147,1.39121183902361e-06,9.64498572647802e-06,"ENSG00000196449"
"ENSG00000116661",198.123770403867,-1.46095125065686,0.738998105141544,0.0038659962662659,0.0126723456996108,"ENSG00000116661"
"ENSG00000162461",99.0833275413691,1.36844783361467,0.348446400618555,5.30334734963808e-06,3.33685147953858e-05,"ENSG00000162461"
"ENSG00000179051",6691.92386536905,0.854008542162719,0.190048360624257,1.90987506698665e-06,1.29506527300366e-05,"ENSG00000179051"
"ENSG00000241014",11.8079644476476,-1.305658580547,0.628297223893,0.00360624389889307,0.0119527255825186,"ENSG00000241014"
"ENSG00000230415",47.5158804685063,-0.723206262599137,0.377131525154616,0.0189985543490809,0.0487909661224278,"ENSG00000230415"
"ENSG00000177181",273.326648002744,6.13871064914736,0.338424024483566,3.23982867289565e-74,1.10518655604153e-71,"ENSG00000177181"
"ENSG00000287828",1.16565255366703,-2.06550283181732,1.51186526695444,0.010490666782761,0.0297767895377934,"ENSG00000287828"
"ENSG00000228526",104.129368073977,3.21148173805845,1.25674571272782,0.000331479807308847,0.00145308007237212,"ENSG00000228526"
"ENSG00000159339",1.39783802654828,-1.91466718348428,1.47864342154448,0.0136987256350124,0.0370938160596641,"ENSG00000159339"
"ENSG00000183317",32.7332529421319,7.68603538812425,1.17782497804521,1.0219760731426e-11,1.34437772741751e-10,"ENSG00000183317"
"ENSG00000158315",24.9130626718459,-2.93756284217623,0.411300205417143,7.89604319063694e-14,1.27026431157412e-12,"ENSG00000158315"
"ENSG00000204084",564.314858818483,-0.491354404016059,0.217448593232098,0.0143975468894491,0.038679072854338,"ENSG00000204084"
"ENSG00000186973",4.07209615871036,-3.47369446494179,0.848092465902628,2.03230820909317e-06,1.37003952680817e-05,"ENSG00000186973"
"ENSG00000271806",2.5099492384032,2.8406181869203,1.86996217328222,0.00494998805062506,0.0156760936060464,"ENSG00000271806"
"ENSG00000198754",22.828943307257,7.26635118931671,1.0798404677963,2.76483204688044e-12,3.84782073320834e-11,"ENSG00000198754"
"ENSG00000230138",12.1734065909775,6.39201090915894,1.06909042881941,3.02219761211595e-10,3.42352264596636e-09,"ENSG00000230138"
"ENSG00000182873",82.9392671062568,2.70509376653318,0.381457695466887,1.2636169071622e-13,1.99225398824066e-12,"ENSG00000182873"
"ENSG00000066056",88.7697163201043,-4.74558638857425,1.03288022019398,2.66205638685501e-07,2.05271694520936e-06,"ENSG00000066056"
"ENSG00000173436",149.689489414505,1.2050042529241,0.205073648379372,3.34606482334177e-10,3.76482458515354e-09,"ENSG00000173436"
"ENSG00000116544",223.14106755701,4.19672069171709,0.506438167575434,7.66391665832704e-18,1.66591682958957e-16,"ENSG00000116544"
"ENSG00000117016",3578.94025331912,5.66992624819812,0.71485789590373,2.90963227526014e-16,5.6606773344805e-15,"ENSG00000117016"
"ENSG00000121310",62.1354276361236,4.06413194368352,0.613402196383678,2.1625446752923e-12,3.04490753318948e-11,"ENSG00000121310"
"ENSG00000169213",343.067302410893,-2.53469170886186,0.240861055069149,8.09636094039366e-27,3.15233020842642e-25,"ENSG00000169213"
"ENSG00000049249",83.0324675287041,-5.5287125970007,0.812524896197483,1.16087460784136e-12,1.67298583066682e-11,"ENSG00000049249"
"ENSG00000116990",146.259875049876,2.69132339440334,0.501997302268064,6.17755344139866e-09,5.95134713598673e-08,"ENSG00000116990"
"ENSG00000162391",14.4710915647904,1.22808949642118,0.566688472096657,0.00320572619908459,0.0107884186962242,"ENSG00000162391"
"ENSG00000117859",1794.81804736045,-0.553107839166397,0.103322755176685,5.29348040309941e-08,4.51434625626821e-07,"ENSG00000117859"
"ENSG00000203995",68.6437793335651,8.74239474609913,1.12826831250339,1.18872755212926e-15,2.22332787460238e-14,"ENSG00000203995"
"ENSG00000227742",2.34391373786526,-3.89217921133997,1.41896876251609,0.000180178922710691,0.000842359613900052,"ENSG00000227742"
"ENSG00000162599",715.306538597249,0.689903682301487,0.159468187743279,6.71344465793085e-06,4.14246444370866e-05,"ENSG00000162599"
"ENSG00000284773",36.6036748918827,-1.59035576328847,0.539837835062101,0.00017882967276429,0.000836360376308518,"ENSG00000284773"
"ENSG00000162551",70.6366941601133,5.25970768286363,0.783948622455403,1.95601711896246e-12,2.7631848420769e-11,"ENSG00000162551"
"ENSG00000169174",314.951442823584,-9.49165203324262,0.61330560581801,5.60011493677004e-55,8.89470107338095e-53,"ENSG00000169174"
"ENSG00000116985",226.19384062884,3.1063774986443,0.35738010470727,2.87197507603906e-19,6.83152296415345e-18,"ENSG00000116985"
"ENSG00000171872",1.76201763463592,-3.78738974838136,1.83254856530665,0.00102393055497143,0.00397123660590274,"ENSG00000171872"
"ENSG00000162407",819.521621608755,-1.41014415260851,0.680875890690214,0.00318723690474574,0.0107406448858961,"ENSG00000162407"
"ENSG00000184292",1.03779945259348,-2.33235440932001,1.63532177333476,0.0077896712019572,0.0231316786835051,"ENSG00000184292"
"ENSG00000187140",10.742779148826,-4.67412905920817,0.647489552006502,4.06866320484841e-14,6.71821786283523e-13,"ENSG00000187140"
"ENSG00000162600",172.918523917738,-0.599468176697977,0.202281639502071,0.00157360273381028,0.00581891851025507,"ENSG00000162600"
"ENSG00000116704",593.130848440447,-1.00407950403466,0.136073092767132,2.58618093977625e-14,4.33228602852361e-13,"ENSG00000116704"
