"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","abs_log2FoldChange","entrez","symbol"
"ENSG00000091129",9309.57226543865,13.9111716258785,0.860759343978366,8.513781494383e-62,1.93617580818093e-59,"ENSG00000091129",13.9111716258785,4897,"NRCAM"
"ENSG00000066735",8005.2273316653,13.6236375195276,0.951985122980033,2.98965667098407e-49,3.67813539369962e-47,"ENSG00000066735",13.6236375195276,26153,"KIF26A"
"ENSG00000162374",2093.9763470097,13.5785682688889,1.04664171851395,2.77909253490259e-41,2.41813271899249e-39,"ENSG00000162374",13.5785682688889,1996,"ELAVL4"
"ENSG00000143340",3447.85151159583,13.5602351583795,1.06037563341688,3.14511467177267e-40,2.56557601445499e-38,"ENSG00000143340",13.5602351583795,148753,"FAM163A"
"ENSG00000105976",2224.09409683498,-13.4049712075927,0.94556372574016,3.18357197844582e-48,3.67567873926788e-46,"ENSG00000105976",13.4049712075927,4233,"MET"
"ENSG00000077279",1823.09457391621,13.3430177531489,1.07775376390106,8.32166572950891e-38,6.00500200803192e-36,"ENSG00000077279",13.3430177531489,1641,"DCX"
"ENSG00000132437",3140.07098504876,13.3334372153999,1.13581005275438,1.92864039865271e-34,1.1649065619146e-32,"ENSG00000132437",13.3334372153999,1644,"DDC"
"ENSG00000132872",1802.77225984054,13.3297385567916,1.07558995376227,7.31089801742411e-38,5.2883336767483e-36,"ENSG00000132872",13.3297385567916,6860,"SYT4"
"ENSG00000243137",658.731627729827,-13.2365962863612,0.822535636565495,1.0743649689731e-60,2.3036687145431e-58,"ENSG00000243137",13.2365962863612,5672,"PSG4"
"ENSG00000136542",870.657903947797,-13.2225326701551,0.880413538735477,2.03376318783751e-53,2.97812376271679e-51,"ENSG00000136542",13.2225326701551,11227,"GALNT5"
"ENSG00000134323",20522.9268815481,13.137277314064,1.73169878903763,5.71167954478531e-17,1.17357226731629e-15,"ENSG00000134323",13.137277314064,4613,"MYCN"
"ENSG00000168685",629.80676370748,-13.1354781999896,0.861761665050868,7.94559129921229e-55,1.25536160637397e-52,"ENSG00000168685",13.1354781999896,3575,"IL7R"
"ENSG00000122585",2591.13514693921,13.0548424733509,1.13972952911752,8.80487835124455e-33,4.90377816745844e-31,"ENSG00000122585",13.0548424733509,4852,"NPY"
"ENSG00000226777",2404.78649804511,12.957174630426,1.13319775605182,1.31184207780296e-32,7.23900502455274e-31,"ENSG00000226777",12.957174630426,9834,"FAM30A"
"ENSG00000101445",1380.23892322004,12.9524274962718,1.0733695860837,7.77280085380423e-36,5.10572667024834e-34,"ENSG00000101445",12.9524274962718,26051,"PPP1R16B"
"ENSG00000147256",1602.25540065838,12.9313338211832,1.25286182059245,2.44459349724729e-27,9.7976304664708e-26,"ENSG00000147256",12.9313338211832,158763,"ARHGAP36"
"ENSG00000260903",1745.20205339292,12.9271150727903,1.33965619021384,1.97514637980596e-24,6.58799101948835e-23,"ENSG00000260903",12.9271150727903,343702,"XKR7"
"ENSG00000134363",854.576907070449,-12.8875118538031,0.830639424994763,1.78022561797251e-56,3.07129843827108e-54,"ENSG00000134363",12.8875118538031,10468,"FST"
